town,price,year
seaside park,670000.0,2017.0
seaside park,540000.0,nan
seaside park,705000.0,2016.0
seaside park,578000.0,2017.0
seaside park,525000.0,2016.0
seaside park,1100000.0,2016.0
seaside park,730000.0,2016.0
seaside park,850000.0,2017.0
seaside park,1351000.0,2017.0
seaside park,860000.0,2017.0
seaside park,815000.0,2017.0
seaside park,1300000.0,2019.0
seaside park,494500.0,2019.0
seaside park,613000.0,2019.0
seaside park,880000.0,2017.0
seaside park,580000.0,2018.0
seaside park,570000.0,2018.0
seaside park,575000.0,2018.0
seaside park,525000.0,2017.0
seaside park,550000.0,2018.0
seaside park,828000.0,2018.0
seaside park,650000.0,6921.0
seaside park,545000.0,2018.0
seaside park,1130000.0,2018.0
seaside park,540000.0,2018.0
seaside park,1250000.0,0.0
seaside park,975000.0,nan
seaside park,670000.0,2018.0
seaside park,705000.0,2018.0
seaside park,915000.0,2017.0
seaside park,710000.0,2017.0
seaside park,518000.0,2018.0
seaside park,1425000.0,2018.0
seaside park,575000.0,2017.0
seaside park,550000.0,2018.0
seaside park,555000.0,2018.0
seaside park,720000.0,2018.0
seaside park,1375000.0,2018.0
seaside park,707750.0,2018.0
seaside park,669000.0,2018.0
seaside park,1300000.0,2018.0
seaside park,520000.0,2018.0
seaside park,520000.0,2018.0
seaside park,475000.0,2018.0
seaside park,675000.0,nan
seaside park,530000.0,2018.0
seaside park,562500.0,2018.0
seaside park,665000.0,2019.0
seaside park,800000.0,2019.0
seaside park,1300000.0,2018.0
seaside park,890000.0,2019.0
seaside park,1450000.0,2018.0
seaside park,652000.0,2018.0
seaside park,759900.0,2019.0
seaside park,710000.0,2019.0
seaside park,736000.0,2020.0
seaside park,483000.0,2019.0
seaside park,535000.0,2020.0
seaside park,900000.0,2019.0
seaside park,596000.0,2020.0
seaside park,999000.0,2019.0
seaside park,729000.0,2020.0
seaside park,478000.0,2020.0
seaside park,700000.0,nan
seaside park,595000.0,2020.0
seaside park,620000.0,2020.0
seaside park,575000.0,2022.0
seaside park,815000.0,2022.0
seaside park,1325000.0,2020.0
seaside park,1525000.0,2019.0
seaside park,1500000.0,2020.0
